TotalUnits,ActiveSubs,Latitude,Longitude,OwnerType
307,1,29.91927,-90.02051,For Profit
159,1,29.92055,-90.02262,For Profit
99,2,29.92296,-90.02217,For Profit
40,0,29.92385,-89.98447,Non-Profit
88,1,29.92504,-90.08053,Non-Profit
57,1,29.9294,-90.07342,For Profit
126,1,29.92967,-90.07446,Multiple
2,0,29.93123,-90.03372,For Profit
2,0,29.93123,-90.03372,For Profit
52,0,29.93124,-90.07647,For Profit
2,0,29.93131,-90.0339,For Profit
42,1,29.93328,-90.09378,Multiple
4,0,29.93333,-90.09262,For Profit
2,1,29.93352,-90.03675,For Profit
20,2,29.93377,-90.03948,For Profit
52,0,29.93379,-90.07742,Non-Profit
36,1,29.93409,-90.09327,For Profit
4,1,29.93447,-90.08849,For Profit
2,0,29.93569,-90.09299,For Profit
38,1,29.93569,-90.09299,Non-Profit
93,1,29.93609,-90.09505,For Profit
32,1,29.93691,-90.032055,Non-Profit
48,1,29.93737,-90.08077,For Profit
18,1,29.93872,-90.08079,Non-Profit
16,0,29.9397,-90.09676,For Profit
8,0,29.93996,-90.08727,For Profit
34,2,29.9405,-90.08173,Non-Profit
3,1,29.94056,-90.03721,For Profit
163,1,29.94287,-90.07215,For Profit
30,0,29.94311,-90.09294,Non-Profit
4,0,29.94334,-90.08267,Non-Profit
32,1,29.94543,-90.18441,For Profit
70,2,29.94761,-90.12965,Multiple
189,1,29.95276,-90.07078,For Profit
75,0,29.95402,-90.01335,Non-Profit
110,0,29.95424,-90.01261,Non-Profit
4,0,29.95609,-90.00962,For Profit
29,1,29.95738,-90.10988,Non-Profit
35,1,29.95743,-90.11234,For Profit
6,0,29.95895,-90.12088,Non-Profit
60,3,29.95918,-90.08525,For Profit
49,1,29.96135,-90.0788,Non-Profit
30,2,29.96292,-90.03882,For Profit
146,2,29.96444,-90.05767,Non-Profit
60,2,29.96569,-90.09884,For Profit
19,1,29.96606,-90.08194,For Profit
32,1,29.96645,-90.03963,Non-Profit
32,0,29.96654,-90.08137,For Profit
199,1,29.96664,-90.10094,For Profit
80,1,29.96775,-90.10338,Non-Profit
32,1,29.96955,-90.03776,For Profit
106,2,29.96996,-90.05344,For Profit
140,2,29.97357,-90.07072,Non-Profit
13,1,29.97369,-90.07038,Non-Profit
24,2,29.97647,-90.07107,Non-Profit
150,2,29.99258,-90.06367,For Profit
102,0,30.0025,-90.04109,For Profit
108,1,30.011,-90.06512,Multiple
52,2,30.01139,-90.00581,For Profit
77,1,30.01163,-90.00357,Non-Profit
65,1,30.0125,-90.01217,For Profit
46,1,30.01418,-89.9874,For Profit
131,1,30.01574,-89.98045,For Profit
521,1,30.03051,-89.99091,For Profit
206,1,30.03822,-89.90624,For Profit
206,1,30.03838,-89.90575,For Profit
287,2,30.03875,-89.97393,Non-Profit
150,2,30.0472,-89.98816,For Profit
122,2,30.04729,-89.98798,For Profit
64,0,30.06277,-89.96078,Non-Profit
153,0,39.048131,-76.827269,For Profit
125,0,39.23559,-76.44494,Non-Profit
49,1,39.24458,-76.66093,Non-Profit
34,1,39.2447,-76.51233,For Profit
23,0,39.248046,-76.472684,Non-Profit
126,0,39.25086,-76.61829,For Profit
187,2,39.25138,-76.6322,For Profit
127,1,39.25181,-76.6185,For Profit
90,0,39.2618,-76.66986,Non-Profit
109,2,39.26874,-76.66988,Non-Profit
20,1,39.27532,-76.61349,Non-Profit
56,0,39.27716,-76.56929,Non-Profit
23,0,39.27787,-76.61737,For Profit
71,1,39.27824,-76.68322,Non-Profit
192,3,39.27884,-76.61686,For Profit
49,0,39.27885,-76.61116,For Profit
94,0,39.27981,-76.69706,For Profit
288,1,39.28025,-76.61515,Non-Profit
101,2,39.28118,-76.65703,For Profit
100,1,39.28174,-76.68671,Non-Profit
394,2,39.28252,-76.68764,For Profit
199,1,39.28423,-76.61468,For Profit
110,0,39.2847,-76.59126,Non-Profit
